2026-03-13 23:16:42.827 | INFO     | app.middleware.logging:logging_middleware:12 - GET /health | 200 | 0.001s
2026-03-13 23:16:42.885 | INFO     | app.middleware.logging:logging_middleware:12 - GET /health | 200 | 0.0008s
2026-03-13 23:16:42.890 | INFO     | app.middleware.logging:logging_middleware:12 - GET /nonexistent-endpoint | 404 | 0.0006s
2026-03-13 23:16:42.966 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.0027s
2026-03-13 23:17:37.497 | INFO     | app.middleware.logging:logging_middleware:12 - GET /health | 200 | 0.0009s
2026-03-13 23:17:37.506 | INFO     | app.middleware.logging:logging_middleware:12 - GET /health | 200 | 0.0006s
2026-03-13 23:17:37.511 | INFO     | app.middleware.logging:logging_middleware:12 - GET /nonexistent-endpoint | 404 | 0.0004s
2026-03-13 23:17:37.517 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.0017s
2026-03-13 23:18:04.928 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.311s
2026-03-13 23:18:04.980 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0027s
2026-03-13 23:18:05.662 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0048s
2026-03-13 23:18:05.676 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0052s
2026-03-13 23:19:21.776 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0035s
2026-03-13 23:19:51.703 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0158s
2026-03-13 23:19:51.716 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0015s
2026-03-13 23:19:51.726 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/3 | 200 | 0.0022s
2026-03-13 23:19:51.732 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/999 | 200 | 0.0017s
2026-03-13 23:19:51.807 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0021s
2026-03-13 23:19:51.817 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0032s
2026-03-13 23:20:42.428 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0151s
2026-03-13 23:20:42.440 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0014s
2026-03-13 23:20:42.518 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/3 | 200 | 0.0026s
2026-03-13 23:20:42.528 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/999 | 404 | 0.0018s
2026-03-13 23:20:42.537 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0022s
2026-03-13 23:20:42.549 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0025s
2026-03-13 23:22:57.692 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0036s
2026-03-13 23:22:57.698 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0027s
2026-03-13 23:23:11.486 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.016s
2026-03-13 23:23:11.499 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0016s
2026-03-13 23:23:11.511 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/1 | 200 | 0.0023s
2026-03-13 23:23:11.519 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/999 | 404 | 0.0017s
2026-03-13 23:23:11.527 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0023s
2026-03-13 23:23:11.537 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0021s
2026-03-13 23:23:11.541 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0015s
2026-03-13 23:23:19.715 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 500 | 0.4551s
2026-03-13 23:23:20.224 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 500 | 0.4333s
2026-03-13 23:23:20.634 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 500 | 0.4018s
2026-03-13 23:23:20.640 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 500 | 0.0036s
2026-03-13 23:23:20.649 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 500 | 0.0021s
2026-03-13 23:23:20.657 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.002s
2026-03-13 23:25:12.095 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4516s
2026-03-13 23:26:17.010 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4527s
2026-03-13 23:26:46.203 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 500 | 0.4602s
2026-03-13 23:26:46.678 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 500 | 0.4019s
2026-03-13 23:26:47.090 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 500 | 0.4057s
2026-03-13 23:26:47.098 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 500 | 0.0042s
2026-03-13 23:26:47.114 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 500 | 0.0031s
2026-03-13 23:26:47.124 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.0017s
2026-03-13 23:28:54.510 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 500 | 0.7119s
2026-03-13 23:29:30.528 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4532s
2026-03-13 23:29:30.938 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4009s
2026-03-13 23:29:31.339 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 500 | 0.3986s
2026-03-13 23:29:31.810 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.3996s
2026-03-13 23:29:32.221 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4089s
2026-03-13 23:29:32.230 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 401 | 0.0021s
2026-03-13 23:29:32.237 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.0019s
2026-03-13 23:29:58.253 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4576s
2026-03-13 23:29:58.662 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4003s
2026-03-13 23:29:59.064 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.3999s
2026-03-13 23:29:59.471 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4008s
2026-03-13 23:29:59.885 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4116s
2026-03-13 23:29:59.899 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 401 | 0.0034s
2026-03-13 23:29:59.909 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.0019s
2026-03-13 23:30:30.369 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4607s
2026-03-13 23:30:30.782 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4047s
2026-03-13 23:30:31.186 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.4019s
2026-03-13 23:30:31.592 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.3999s
